autolabel_map.feature,autolabel_map.tag,autolabel_map.cnt,autolabel_map.month,autolabel_map.day
ft_dev_battery_use_90d_whole_allday_hours,4,27733,201910,20191016
ft_dev_battery_use_90d_whole_allday_hours,blank,9716892,201910,20191016
ft_dev_battery_use_90d_whole_worktime_hours,0,7057359,201910,20191016
ft_dev_battery_use_90d_whole_worktime_hours,1,741432,201910,20191016
ft_dev_battery_use_90d_whole_worktime_hours,2,353999,201910,20191016
ft_dev_battery_use_90d_whole_worktime_hours,3,215316,201910,20191016
ft_dev_battery_use_90d_whole_worktime_hours,4,93180,201910,20191016
ft_dev_battery_use_90d_whole_worktime_hours,blank,9716892,201910,20191016
ft_dev_battery_use_90d_whole_closetime_hours,0,7007399,201910,20191016
ft_dev_battery_use_90d_whole_closetime_hours,1,753899,201910,20191016
ft_dev_battery_use_90d_whole_closetime_hours,2,370833,201910,20191016
ft_dev_battery_use_90d_whole_closetime_hours,3,226597,201910,20191016
ft_dev_battery_use_90d_whole_closetime_hours,4,102558,201910,20191016
ft_dev_battery_use_90d_whole_closetime_hours,blank,9716892,201910,20191016
ft_dev_battery_use_90d_whole_nighttime_hours,0,7966632,201910,20191016
ft_dev_battery_use_90d_whole_nighttime_hours,1,292101,201910,20191016
ft_dev_battery_use_90d_whole_nighttime_hours,2,118905,201910,20191016
ft_dev_battery_use_90d_whole_nighttime_hours,3,59969,201910,20191016
ft_dev_battery_use_90d_whole_nighttime_hours,4,23679,201910,20191016
ft_dev_battery_use_90d_whole_nighttime_hours,blank,9716892,201910,20191016
ft_dev_battery_use_90d_weekday_allday_hours,0,7302399,201910,20191016
ft_dev_battery_use_90d_weekday_allday_hours,1,669626,201910,20191016
ft_dev_battery_use_90d_weekday_allday_hours,2,312390,201910,20191016
ft_dev_battery_use_90d_weekday_allday_hours,3,148549,201910,20191016
ft_dev_battery_use_90d_weekday_allday_hours,4,28322,201910,20191016
ft_dev_battery_use_90d_weekday_allday_hours,blank,9716892,201910,20191016
ft_app_ins_current_micro_loan_cnt_avg,0,14570367,201910,20191016
ft_app_ins_current_micro_loan_cnt_avg,1,2072,201910,20191016
ft_app_ins_current_micro_loan_cnt_avg,2,423,201910,20191016
ft_app_ins_current_micro_loan_cnt_avg,3,184,201910,20191016
ft_app_ins_current_micro_loan_cnt_avg,4,158,201910,20191016
ft_app_ins_current_micro_loan_cnt_avg,blank,3604974,201910,20191016
ft_dev_battery_use_90d_weekday_worktime_hours,0,7051459,201910,20191016
ft_dev_battery_use_90d_weekday_worktime_hours,1,740914,201910,20191016
