feature|tag|min_value|max_value
ft_dev_battery_use_30d_weekend_allday_hours|4|153.6|inf
ft_dev_battery_all_90d_whole_allday_hours|0|-inf|432.8
ft_dev_battery_all_90d_whole_allday_hours|1|432.8|864.6
ft_dev_battery_all_90d_whole_allday_hours|2|864.6|1296.4
ft_dev_battery_all_90d_whole_allday_hours|3|1296.4|1728.2
ft_dev_battery_all_90d_whole_allday_hours|4|1728.2|inf
ft_dev_battery_full_90d_whole_allday_hours|0|-inf|432.0
ft_dev_battery_full_90d_whole_allday_hours|1|432.0|864.0
ft_dev_battery_full_90d_whole_allday_hours|2|864.0|1296.0
ft_dev_battery_full_90d_whole_allday_hours|3|1296.0|1728.0
ft_dev_battery_full_90d_whole_allday_hours|4|1728.0|inf
ft_dev_battery_full_90d_weekday_allday_hours|0|-inf|307.2
ft_dev_battery_full_90d_weekday_allday_hours|1|307.2|614.4
ft_dev_battery_full_90d_weekday_allday_hours|2|614.4|921.6
ft_dev_battery_full_90d_weekday_allday_hours|3|921.6|1228.8
ft_dev_battery_full_90d_weekday_allday_hours|4|1228.8|inf
ft_dev_battery_full_90d_weekend_allday_hours|0|-inf|124.8
ft_dev_battery_full_90d_weekend_allday_hours|1|124.8|249.6
ft_dev_battery_full_90d_weekend_allday_hours|2|249.6|374.4
ft_dev_battery_full_90d_weekend_allday_hours|3|374.4|499.2
ft_dev_battery_full_90d_weekend_allday_hours|4|499.2|inf
ft_dev_battery_charge_90d_whole_allday_hours|0|-inf|432.0
ft_dev_battery_charge_90d_whole_allday_hours|1|432.0|864.0
ft_dev_battery_charge_90d_whole_allday_hours|2|864.0|1296.0
ft_dev_battery_charge_90d_whole_allday_hours|3|1296.0|1728.0
ft_dev_battery_charge_90d_whole_allday_hours|4|1728.0|inf
ft_dev_battery_charge_90d_weekday_allday_hours|0|-inf|307.2
ft_dev_battery_charge_90d_weekday_allday_hours|1|307.2|614.4
ft_dev_battery_charge_90d_weekday_allday_hours|2|614.4|921.6
ft_dev_battery_charge_90d_weekday_allday_hours|3|921.6|1228.8
ft_dev_battery_charge_90d_weekday_allday_hours|4|1228.8|inf
ft_dev_battery_charge_90d_weekend_allday_hours|0|-inf|124.8
ft_dev_battery_charge_90d_weekend_allday_hours|1|124.8|249.6
ft_dev_battery_charge_90d_weekend_allday_hours|2|249.6|374.4
ft_dev_battery_charge_90d_weekend_allday_hours|3|374.4|499.2
ft_dev_battery_charge_90d_weekend_allday_hours|4|499.2|inf
ft_dev_battery_use_90d_whole_allday_hours|0|-inf|432.0
ft_dev_battery_use_90d_whole_allday_hours|1|432.0|864.0
ft_dev_battery_use_90d_whole_allday_hours|2|864.0|1296.0
ft_dev_battery_use_90d_whole_allday_hours|3|1296.0|1728.0
ft_dev_battery_use_90d_whole_allday_hours|4|1728.0|inf
ft_dev_battery_use_90d_whole_worktime_hours|0|-inf|180.0
ft_dev_battery_use_90d_whole_worktime_hours|1|180.0|360.0
ft_dev_battery_use_90d_whole_worktime_hours|2|360.0|540.0
ft_dev_battery_use_90d_whole_worktime_hours|3|540.0|720.0
ft_dev_battery_use_90d_whole_worktime_hours|4|720.0|inf
ft_dev_battery_use_90d_whole_closetime_hours|0|-inf|36.0
ft_dev_battery_use_90d_whole_closetime_hours|1|36.0|72.0
ft_dev_battery_use_90d_whole_closetime_hours|2|72.0|108.0
ft_dev_battery_use_90d_whole_closetime_hours|3|108.0|144.0
ft_dev_battery_use_90d_whole_closetime_hours|4|144.0|inf
ft_dev_battery_use_90d_whole_nighttime_hours|0|-inf|90.0
ft_dev_battery_use_90d_whole_nighttime_hours|1|90.0|180.0
ft_dev_battery_use_90d_whole_nighttime_hours|2|180.0|270.0
ft_dev_battery_use_90d_whole_nighttime_hours|3|270.0|360.0
ft_dev_battery_use_90d_whole_nighttime_hours|4|360.0|inf
ft_dev_battery_use_90d_weekday_allday_hours|0|-inf|307.2
ft_dev_battery_use_90d_weekday_allday_hours|1|307.2|614.4
ft_dev_battery_use_90d_weekday_allday_hours|2|614.4|921.6
ft_dev_battery_use_90d_weekday_allday_hours|3|921.6|1228.8
ft_dev_battery_use_90d_weekday_allday_hours|4|1228.8|inf
ft_dev_battery_use_90d_weekday_worktime_hours|0|-inf|128.0
ft_dev_battery_use_90d_weekday_worktime_hours|1|128.0|256.0
ft_dev_battery_use_90d_weekday_worktime_hours|2|256.0|384.0
ft_dev_battery_use_90d_weekday_worktime_hours|3|384.0|512.0
ft_dev_battery_use_90d_weekday_worktime_hours|4|512.0|inf
ft_dev_battery_use_90d_weekday_closetime_hours|0|-inf|25.6
ft_dev_battery_use_90d_weekday_closetime_hours|1|25.6|51.2
ft_dev_battery_use_90d_weekday_closetime_hours|2|51.2|76.8
ft_dev_battery_use_90d_weekday_closetime_hours|3|76.8|102.4
ft_dev_battery_use_90d_weekday_closetime_hours|4|102.4|inf
ft_dev_battery_use_90d_weekday_nighttime_hours|0|-inf|64.0
ft_dev_battery_use_90d_weekday_nighttime_hours|1|64.0|128.0
ft_dev_battery_use_90d_weekday_nighttime_hours|2|128.0|192.0
ft_dev_battery_use_90d_weekday_nighttime_hours|3|192.0|256.0
ft_dev_battery_use_90d_weekday_nighttime_hours|4|256.0|inf
ft_dev_battery_use_90d_weekend_allday_hours|0|-inf|124.8
ft_dev_battery_use_90d_weekend_allday_hours|1|124.8|249.6
ft_dev_battery_use_90d_weekend_allday_hours|2|249.6|374.4
ft_dev_battery_use_90d_weekend_allday_hours|3|374.4|499.2
ft_dev_battery_use_90d_weekend_allday_hours|4|499.2|inf
ft_dev_ip_30d_whole_allday_cnt|0|-inf|2087.8
ft_dev_ip_30d_whole_allday_cnt|1|2087.8|4175.6
ft_dev_ip_30d_whole_allday_cnt|2|4175.6|6263.4
ft_dev_ip_30d_whole_allday_cnt|3|6263.4|8351.2
ft_dev_ip_30d_whole_allday_cnt|4|8351.2|inf
ft_dev_wifimac_30d_whole_allday_cnt|0|-inf|227.4
ft_dev_wifimac_30d_whole_allday_cnt|1|227.4|453.8
ft_dev_wifimac_30d_whole_allday_cnt|2|453.8|680.2
ft_dev_wifimac_30d_whole_allday_cnt|3|680.2|906.6
ft_dev_wifimac_30d_whole_allday_cnt|4|906.6|inf
ft_dev_wifimac_30d_whole_allday_days|0|-inf|6.8
ft_dev_wifimac_30d_whole_allday_days|1|6.8|12.6
ft_dev_wifimac_30d_whole_allday_days|2|12.6|18.4
ft_dev_wifimac_30d_whole_allday_days|3|18.4|24.2
ft_dev_wifimac_30d_whole_allday_days|4|24.2|inf
ft_dev_ip_30d_whole_worktime_cnt|0|-inf|1069.2
ft_dev_ip_30d_whole_worktime_cnt|1|1069.2|2138.4
ft_dev_ip_30d_whole_worktime_cnt|2|2138.4|3207.6
ft_dev_ip_30d_whole_worktime_cnt|3|3207.6|4276.8
ft_dev_ip_30d_whole_worktime_cnt|4|4276.8|inf
ft_dev_ip_30d_whole_closetime_cnt|0|-inf|654.4
ft_dev_ip_30d_whole_closetime_cnt|1|654.4|1308.8
ft_dev_ip_30d_whole_closetime_cnt|2|1308.8|1963.2
ft_dev_ip_30d_whole_closetime_cnt|3|1963.2|2617.6
ft_dev_ip_30d_whole_closetime_cnt|4|2617.6|inf
ft_dev_ip_30d_whole_nighttime_cnt|0|-inf|927.2
ft_dev_ip_30d_whole_nighttime_cnt|1|927.2|1854.4
ft_dev_ip_30d_whole_nighttime_cnt|2|1854.4|2781.6
ft_dev_ip_30d_whole_nighttime_cnt|3|2781.6|3708.8
ft_dev_ip_30d_whole_nighttime_cnt|4|3708.8|inf
ft_dev_ip_30d_weekday_allday_cnt|0|-inf|1369.4
ft_dev_ip_30d_weekday_allday_cnt|1|1369.4|2738.8
ft_dev_ip_30d_weekday_allday_cnt|2|2738.8|4108.2
ft_dev_ip_30d_weekday_allday_cnt|3|4108.2|5477.6
ft_dev_ip_30d_weekday_allday_cnt|4|5477.6|inf
ft_dev_ip_30d_weekday_worktime_cnt|0|-inf|893.4
ft_dev_ip_30d_weekday_worktime_cnt|1|893.4|1786.8
ft_dev_ip_30d_weekday_worktime_cnt|2|1786.8|2680.2
ft_dev_ip_30d_weekday_worktime_cnt|3|2680.2|3573.6
ft_dev_ip_30d_weekday_worktime_cnt|4|3573.6|inf
ft_dev_ip_30d_weekday_closetime_cnt|0|-inf|555.2
