feature|if_continuous|tag|min_value|max_value|chinese_name
ft_app_ins_history_malicious_cnt|1|1|3.2|6.4|恶意呼叫类APP历史安装个数
ft_app_ins_history_malicious_cnt|1|2|6.4|9.6|恶意呼叫类APP历史安装个数
ft_app_ins_history_malicious_cnt|1|3|9.6|12.8|恶意呼叫类APP历史安装个数
ft_app_ins_history_malicious_cnt|1|4|12.8|inf|恶意呼叫类APP历史安装个数
ft_dev_battery_use_30d_whole_nighttime_hours|1|0|-inf|30.0|近30天夜间（凌晨01点至06点）电量使用中状态小时数
ft_dev_battery_use_30d_whole_nighttime_hours|1|1|30.0|60.0|近30天夜间（凌晨01点至06点）电量使用中状态小时数
ft_dev_battery_use_30d_whole_nighttime_hours|1|2|60.0|90.0|近30天夜间（凌晨01点至06点）电量使用中状态小时数
ft_dev_battery_use_30d_whole_nighttime_hours|1|3|90.0|120.0|近30天夜间（凌晨01点至06点）电量使用中状态小时数
ft_dev_battery_use_30d_whole_nighttime_hours|1|4|120.0|inf|近30天夜间（凌晨01点至06点）电量使用中状态小时数
ft_dev_battery_use_30d_weekday_allday_hours|1|0|-inf|105.6|近30天工作日全天电量使用中状态小时数
ft_dev_battery_use_30d_weekday_allday_hours|1|1|105.6|211.2|近30天工作日全天电量使用中状态小时数
ft_dev_battery_use_30d_weekday_allday_hours|1|2|211.2|316.8|近30天工作日全天电量使用中状态小时数
ft_dev_battery_use_30d_weekday_allday_hours|1|3|316.8|422.4|近30天工作日全天电量使用中状态小时数
ft_dev_battery_use_30d_weekday_allday_hours|1|4|422.4|inf|近30天工作日全天电量使用中状态小时数
ft_dev_battery_use_30d_weekday_worktime_hours|1|0|-inf|44.0|近30天工作日工作时间（早8点至18点）电量使用中状态小时数
ft_dev_battery_use_30d_weekday_worktime_hours|1|1|44.0|88.0|近30天工作日工作时间（早8点至18点）电量使用中状态小时数
ft_dev_battery_use_30d_weekday_worktime_hours|1|2|88.0|132.0|近30天工作日工作时间（早8点至18点）电量使用中状态小时数
ft_dev_battery_use_30d_weekday_worktime_hours|1|3|132.0|176.0|近30天工作日工作时间（早8点至18点）电量使用中状态小时数
ft_dev_battery_use_30d_weekday_worktime_hours|1|4|176.0|inf|近30天工作日工作时间（早8点至18点）电量使用中状态小时数
ft_dev_battery_use_30d_weekday_closetime_hours|1|0|-inf|8.8|近30天工作日下班时间（晚19点至21点）电量使用中状态小时数
ft_dev_battery_use_30d_weekday_closetime_hours|1|1|8.8|17.6|近30天工作日下班时间（晚19点至21点）电量使用中状态小时数
ft_dev_battery_use_30d_weekday_closetime_hours|1|2|17.6|26.4|近30天工作日下班时间（晚19点至21点）电量使用中状态小时数
ft_dev_battery_use_30d_weekday_closetime_hours|1|3|26.4|35.2|近30天工作日下班时间（晚19点至21点）电量使用中状态小时数
ft_dev_battery_use_30d_weekday_closetime_hours|1|4|35.2|inf|近30天工作日下班时间（晚19点至21点）电量使用中状态小时数
ft_dev_battery_use_30d_weekday_nighttime_hours|1|0|-inf|22.0|近30天工作日夜间（凌晨01点至06点）电量使用中状态小时数
ft_dev_battery_use_30d_weekday_nighttime_hours|1|1|22.0|44.0|近30天工作日夜间（凌晨01点至06点）电量使用中状态小时数
ft_dev_battery_use_30d_weekday_nighttime_hours|1|2|44.0|66.0|近30天工作日夜间（凌晨01点至06点）电量使用中状态小时数
ft_dev_battery_use_30d_weekday_nighttime_hours|1|3|66.0|88.0|近30天工作日夜间（凌晨01点至06点）电量使用中状态小时数
ft_dev_battery_use_30d_weekday_nighttime_hours|1|4|88.0|inf|近30天工作日夜间（凌晨01点至06点）电量使用中状态小时数
ft_dev_battery_use_30d_weekend_allday_hours|1|0|-inf|38.4|近30天周末全天电量使用中状态小时数
ft_dev_battery_use_30d_weekend_allday_hours|1|1|38.4|76.8|近30天周末全天电量使用中状态小时数
ft_dev_battery_use_30d_weekend_allday_hours|1|2|76.8|115.2|近30天周末全天电量使用中状态小时数
ft_dev_battery_use_30d_weekend_allday_hours|1|3|115.2|153.6|近30天周末全天电量使用中状态小时数
ft_dev_battery_use_30d_weekend_allday_hours|1|4|153.6|inf|近30天周末全天电量使用中状态小时数
ft_dev_battery_all_90d_whole_allday_hours|1|0|-inf|432.8|电池电量90天计数
ft_dev_battery_all_90d_whole_allday_hours|1|1|432.8|864.6|电池电量90天计数
ft_dev_battery_all_90d_whole_allday_hours|1|2|864.6|1296.4|电池电量90天计数
ft_dev_battery_all_90d_whole_allday_hours|1|3|1296.4|1728.2|电池电量90天计数
ft_dev_battery_all_90d_whole_allday_hours|1|4|1728.2|inf|电池电量90天计数
ft_dev_battery_full_90d_whole_allday_hours|1|0|-inf|432.0|近90天全天满电状态小时数
ft_dev_battery_full_90d_whole_allday_hours|1|1|432.0|864.0|近90天全天满电状态小时数
ft_dev_battery_full_90d_whole_allday_hours|1|2|864.0|1296.0|近90天全天满电状态小时数
